Tested_by	Marked_eligible	Marked_Ineligible	Eligibility_percentage	Mistaken_as_ineligible	Error_rate	Total_processed	Percentage_processed
KN	231	176	56.76%	1	0.57%	407	8.28%
VA	299	248	54.66%	0	0.00%	547	11.13%
JJ	171	117	59.38%	16	13.68%	288	5.86%
RB	4	3	57.14%	1	33.33%	7	0.14%
MI	239	140	63.06%	1	0.71%	379	7.71%
DL	297	173	63.19%	8	4.62%	470	9.56%
AM	708	475	59.85%	0	0.00%	1183	24.07%
RZ	1	0	100.00%	0	NaN	1	0.02%
RR	471	286	62.22%	20	6.99%	757	15.40%
AS	558	265	67.80%	0	0.00%	823	16.74%
AA	10	5	66.67%	0	0.00%	15	0.31%
SO	28	10	73.68%	0	0.00%	38	0.77%
