Week	Processed_per_week	Total_processed	Included_and_extracted_per_week	Total_included_and_extracted
1	73	73	48	48
2	79	152	50	98
3	91	243	61	159
4	122	365	70	229
5	143	508	93	322
6	100	608	59	381
7	71	679	39	420
8	144	823	79	499
9	117	940	72	571
10	122	1062	65	636
11	114	1176	58	694
12	180	1356	109	803
13	217	1573	124	927
14	175	1748	107	1034
15	111	1859	68	1102
16	112	1971	69	1171
17	128	2099	84	1255
18	128	2227	84	1339
19	56	2283	33	1372
20	266	2549	159	1531
21	210	2759	126	1657
22	129	2888	77	1734
23	302	3190	186	1920
24	301	3491	173	2093
25	83	3574	47	2140
26	267	3841	168	2308
27	220	4061	143	2451
28	138	4199	86	2537
29	145	4344	90	2627
30	88	4432	53	2680
31	139	4571	86	2766
32	113	4684	64	2830
33	81	4765	48	2878
34	58	4823	51	2929
35	92	4915	41	2970
